bas1,h,m,s,star,az,el,delay1,delay2
D/S1W2,5,36,45.0,#133844,302.98976273,70.588781648,23.771138652,87.999970658
D/S1W2,5,36,46.0,#133844,302.98677547,70.585884048,23.765451046,87.999970658
D/S1W2,5,36,47.0,#133844,302.983789499,70.582986349,23.759763136,87.999970658
D/S1W2,5,36,48.0,#133844,302.980804816,70.580088551,23.754065667,87.999970658
D/S1W2,5,48,15.0,#134547,297.228179381,69.88729432,26.616912003,87.999970658
D/S1W2,5,48,17.0,#134547,297.224249139,69.881150729,26.604997045,87.999970658
D/S1W2,5,48,18.0,#134547,297.222285523,69.878078852,26.59903912,87.999970658
D/S1W2,5,48,19.0,#134547,297.22032291,69.87500692,26.593080899,87.999970658
D/S1W2,6,25,54.0,#172861,87.551174626,56.106337582,79.595288952,54.693614658
D/S1W2,6,26,0.0,#172861,87.563959314,56.12704591,79.602177676,54.693614658
D/S1W2,6,26,1.0,#172861,87.566090665,56.130497317,79.603318299,54.693614658
D/S1W2,6,26,4.0,#172861,87.572485693,56.140851569,79.606754318,54.693614658
D/S1W2,6,37,9.0,#174447,72.861409828,58.201509751,49.679224681,54.693614658
D/S1W2,6,37,10.0,#174447,72.862117802,58.204810885,49.680226501,54.693614658
D/S1W2,6,37,11.0,#174447,72.862825631,58.208112028,49.681227771,54.693614658
D/S1W2,6,37,11.0,#174447,72.862825631,58.208112028,49.681227771,54.693614658
D/S1W2,7,10,43.0,#172861,94.127574518,65.389868624,80.48647859,54.693614658
D/S1W2,7,10,43.0,#172861,94.127574518,65.389868624,80.48647859,54.693614658
D/S1W2,7,10,48.0,#172861,94.142044546,65.407096301,80.484025644,54.693614658
D/S1W2,7,10,58.0,#172861,94.171019656,65.44155071,80.479084363,54.693614658
D/S1W2,7,21,5.0,#174447,74.065878312,66.936518834,50.397262858,54.693614658
D/S1W2,7,21,7.0,#174447,74.066122875,66.943162429,50.396330335,54.693614658
D/S1W2,7,21,8.0,#174447,74.066244643,66.946484231,50.395864859,54.693614658
D/S1W2,7,21,9.0,#174447,74.06636607,66.949806033,50.395404046,54.693614658
D/S1W2,7,31,55.0,#172861,98.268201794,69.758092199,79.373871364,54.693614658
D/S1W2,7,32,7.0,#172861,98.31262896,69.79911333,79.358709354,54.693614658
D/S1W2,7,32,13.0,#172861,98.33488845,69.819622153,79.351085674,54.693614658
D/S1W2,7,32,17.0,#172861,98.349745175,69.833294051,79.346000945,54.693614658
D/S1W2,8,12,33.0,#196165,90.636075418,50.92620299,24.213714663,-11.911117339
D/S1W2,8,12,35.0,#196165,90.640870256,50.933111611,24.217476244,-11.911117339
D/S1W2,8,12,35.0,#196165,90.640870256,50.933111611,24.217466846,-11.911117339
D/S1W2,8,12,37.0,#196165,90.64566583,50.940020226,24.2212152,-11.911117339
D/S1W2,8,23,20.0,#194818,94.103820444,53.931773128,28.228520511,-11.911117339
D/S1W2,8,23,20.0,#194818,94.103820444,53.931773128,28.228520511,-11.911117339
D/S1W2,8,23,21.0,#194818,94.106509996,53.935218792,28.229818102,-11.911117339
D/S1W2,8,23,22.0,#194818,94.109199812,53.938664441,28.231115066,-11.911117339
D/S1W2,8,33,39.0,#196165,93.840280304,55.295816664,26.099276235,-11.911117339
D/S1W2,8,33,41.0,#196165,93.84564903,55.30271018,26.101471899,-11.911117339
D/S1W2,8,33,42.0,#196165,93.848333808,55.306156923,26.102571379,-11.911117339
D/S1W2,8,33,44.0,#196165,93.853704191,55.313050374,26.104761856,-11.911117339
D/S1W2,8,43,6.0,#194818,97.505959129,58.00750566,29.325134267,-11.911117339
D/S1W2,8,43,7.0,#194818,97.509031707,58.010930574,29.325679106,-11.911117339
D/S1W2,8,43,7.0,#194818,97.509031707,58.010930574,29.325674752,-11.911117339
D/S1W2,8,43,8.0,#194818,97.512104673,58.014355461,29.32621992,-11.911117339
D/S1W2,8,52,19.0,#196165,97.043268001,59.147170239,26.93285029,-11.911117339
D/S1W2,8,52,21.0,#196165,97.049386993,59.154027111,26.933633735,-11.911117339
D/S1W2,8,52,24.0,#196165,97.058568501,59.164312248,26.934793222,-11.911117339
D/S1W2,8,52,28.0,#196165,97.070816161,59.178025443,26.936349512,-11.911117339
D/S1W2,9,3,47.0,#196372,101.032043089,60.891820252,60.770565143,18.088872658
D/S1W2,9,3,56.0,#196372,101.063900515,60.922334787,60.770433079,18.088872658
D/S1W2,9,3,57.0,#196372,101.067442943,60.925725087,60.770413808,18.088872658
D/S1W2,9,3,58.0,#196372,101.070985911,60.929115344,60.770393901,18.088872658
D/S1W2,9,13,1.0,#194818,103.802886327,64.101300872,59.292294918,18.088872658
D/S1W2,9,13,2.0,#194818,103.806934144,64.10465561,59.29170782,18.088872658
D/S1W2,9,13,2.0,#194818,103.806934144,64.10465561,59.29170782,18.088872658
D/S1W2,9,13,3.0,#194818,103.810982706,64.108010291,59.291120089,18.088872658
D/S1W2,9,22,22.0,#196372,105.362506366,64.642054286,60.360765923,18.088872658
D/S1W2,9,22,23.0,#196372,105.366787819,64.645385346,60.360048866,18.088872658
D/S1W2,9,22,25.0,#196372,105.37535317,64.652047259,60.358603835,18.088872658
D/S1W2,9,22,30.0,#196372,105.396780836,64.668700842,60.35499237,18.088872658
D/S1W2,9,31,52.0,#194818,108.932850849,67.850676204,58.224980929,18.088872658
D/S1W2,9,31,53.0,#194818,108.937954962,67.853943791,58.223681201,18.088872658
D/S1W2,9,31,53.0,#194818,108.937954962,67.853943791,58.223681201,18.088872658
D/S1W2,9,31,54.0,#194818,108.943060238,67.857211275,58.222380847,18.088872658
D/S1W2,9,41,26.0,#196372,110.88303906,68.398929451,59.122192668,18.088872658
D/S1W2,9,41,27.0,#196372,110.888499707,68.40215699,59.12074967,18.088872658
D/S1W2,9,41,28.0,#196372,110.893961646,68.405384415,59.119306044,18.088872658
D/S1W2,9,41,29.0,#196372,110.899424872,68.40861172,59.117861792,18.088872658
D/S1W2,10,9,15.0,#235214,50.900876707,58.033471976,40.980233655,87.999970658
D/S1W2,10,9,16.0,#235214,50.899735384,58.036152858,40.98099307,87.999970658
D/S1W2,10,9,17.0,#235214,50.898593613,58.038833695,40.981758844,87.999970658
D/S1W2,10,9,18.0,#235214,50.897451392,58.04151449,40.982521593,87.999970658
D/S1W2,10,19,4.0,#249051,47.341721357,53.529221417,29.082304726,87.999970658
D/S1W2,10,19,5.0,#249051,47.340904304,53.531761884,29.083671301,87.999970658
D/S1W2,10,19,5.0,#249051,47.340904304,53.531761884,29.083685491,87.999970658
D/S1W2,10,19,6.0,#249051,47.340086909,53.534302317,29.085037941,87.999970658
D/S1W2,10,28,19.0,#235214,49.274690121,61.067114156,41.550014353,87.999970658
D/S1W2,10,28,22.0,#235214,49.269505582,61.074967838,41.550710689,87.999970658
D/S1W2,10,28,22.0,#235214,49.269505582,61.074967838,41.550703262,87.999970658
D/S1W2,10,28,24.0,#235214,49.266046305,61.080203288,41.551171193,87.999970658
D/S1W2,10,38,21.0,#249051,46.150463102,56.442223709,30.364242482,87.999970658
D/S1W2,10,38,22.0,#249051,46.149205098,56.444714949,30.365091033,87.999970658
D/S1W2,10,38,23.0,#249051,46.147946671,56.447206139,30.365952096,87.999970658
D/S1W2,10,38,23.0,#249051,46.147946671,56.447206139,30.36594564,87.999970658
D/S1W2,10,47,19.0,#235214,46.890296717,64.00063567,41.520287124,87.999970658
D/S1W2,10,47,19.0,#235214,46.890296717,64.00063567,41.520279975,87.999970658
D/S1W2,10,47,21.0,#235214,46.885314138,64.005679388,41.519699152,87.999970658
D/S1W2,10,47,22.0,#235214,46.882821699,64.008201094,41.519410161,87.999970658
D/S1W2,10,56,50.0,#237752,50.625139008,65.166295143,48.442014876,87.999970658
D/S1W2,10,56,53.0,#237752,50.617978606,65.174305894,48.440877138,87.999970658
D/S1W2,10,56,53.0,#237752,50.617978606,65.174305894,48.440877138,87.999970658
D/S1W2,10,56,55.0,#237752,50.613200905,65.179645938,48.440112519,87.999970658
D/S1W2,11,5,51.0,#249051,43.434296018,60.465632659,31.200795149,87.999970658
D/S1W2,11,5,51.0,#249051,43.434296018,60.465632659,31.200795149,87.999970658
D/S1W2,11,5,52.0,#249051,43.432218079,60.468007675,31.200946147,87.999970658
D/S1W2,11,5,54.0,#249051,43.428060463,60.472757431,31.201246844,87.999970658
D/S1W2,11,14,48.0,#237752,47.525017562,67.983613004,47.755925454,87.999970658
D/S1W2,11,14,49.0,#237752,47.521598039,67.986160895,47.755033323,87.999970658
D/S1W2,11,14,50.0,#237752,47.518177401,67.988708646,47.754140719,87.999970658
D/S1W2,11,14,53.0,#237752,47.5079088,67.996351063,47.751454313,87.999970658
D/S1W2,11,23,52.0,#249051,40.824676986,62.97347195,31.11155049,87.999970658
D/S1W2,11,23,52.0,#249051,40.824676986,62.97347195,31.11155049,87.999970658
D/S1W2,11,23,53.0,#249051,40.821902061,62.975730268,31.111234179,87.999970658
D/S1W2,11,23,54.0,#249051,40.819126424,62.977988458,31.110917436,87.999970658
D/S1W2,11,32,59.0,#237752,43.057151642,70.667426051,46.502858988,87.999970658
D/S1W2,11,33,0.0,#237752,43.052306216,70.66978444,46.501448647,87.999970658
D/S1W2,11,33,2.0,#237752,43.042610806,70.674500582,46.49863892,87.999970658
D/S1W2,11,33,3.0,#237752,43.037760828,70.67685833,46.497228835,87.999970658
D/S1W2,11,41,57.0,#249051,37.364951426,65.340646149,30.514893527,87.999970658
D/S1W2,11,41,58.0,#249051,37.361320439,65.342742574,30.514104228,87.999970658
D/S1W2,11,41,59.0,#249051,37.357688584,65.344838827,30.51332043,87.999970658
D/S1W2,11,42,0.0,#249051,37.354055861,65.346934905,30.512536204,87.999970658
D/S1W2,11,51,40.0,#237752,36.573512488,73.155267787,44.638277898,87.999970658
D/S1W2,11,51,45.0,#237752,36.539422098,73.165555605,44.628664134,87.999970658
D/S1W2,11,51,46.0,#237752,36.532598028,73.167612178,44.62674086,87.999970658
D/S1W2,11,51,48.0,#237752,36.518943899,73.17172433,44.62288604,87.999970658
D/S1W2,3,54,17.0,#180569,123.795390598,71.463385173,73.221693504,28.621184499
D/S1W2,3,54,17.0,#180569,123.795390598,71.463385173,73.221693504,28.621190231
D/S1W2,3,54,18.0,#180569,123.80347229,71.466255853,73.229195115,28.630990418
D/S1W2,3,54,19.0,#180569,123.811556138,71.469126261,73.236696097,28.640790597
D/S1W2,4,8,8.0,#180093,124.398821034,76.376035577,66.401445003,35.359942066
D/S1W2,4,8,35.0,#180093,124.68110725,76.452867011,66.581822675,35.617337381
D/S1W2,4,8,45.0,#180093,124.786384231,76.481256645,66.648508521,35.712653066
D/S1W2,4,8,59.0,#180093,124.934437447,76.520941129,66.741792263,35.846072358
D/S1W2,4,19,59.0,#183031,109.720187361,77.200521866,49.68211695,29.286585684
D/S1W2,4,20,12.0,#183031,109.817710999,77.242784017,49.769052379,29.407036285
D/S1W2,4,21,3.0,#183031,110.205651818,77.408328154,50.109446387,29.87989067
D/S1W2,4,21,12.0,#183031,110.275012435,77.437499057,50.169402504,29.96332696
D/S1W2,4,32,4.0,#180569,149.359135553,76.933874296,68.548422918,30.730131695
D/S1W2,4,32,16.0,#180569,149.541287585,76.95494504,68.620274544,30.846064436
D/S1W2,4,32,56.0,#180569,150.152402434,77.024356059,68.858887926,31.232309749
D/S1W2,4,33,26.0,#180569,150.61471123,77.075572378,69.037141801,31.521903286
D/S1W2,4,45,12.0,#180569,162.432097196,78.051087935,37.046365223,2.301089867
D/S1W2,4,45,20.0,#180569,162.575491025,78.059396588,37.089735198,2.377491108
D/S1W2,4,45,23.0,#180569,162.629311976,78.062495316,37.105993032,2.406136279
D/S1W2,4,45,29.0,#180569,162.737032523,78.068664885,37.138452489,2.463429221
D/S1W2,4,59,31.0,#180093,182.509147705,81.654090212,27.797258749,8.253917832
D/S1W2,4,59,34.0,#180093,182.586769416,81.653629501,27.810889012,8.28131725
D/S1W2,5,12,42.0,#178646,202.234137487,75.116806556,59.140249202,27.377036981
D/S1W2,5,12,44.0,#178646,202.262896687,75.114190619,59.14763515,27.395413572
D/S1W2,5,12,46.0,#178646,202.291646511,75.111571474,59.155024707,27.413795335
D/S1W2,5,12,48.0,#178646,202.320386959,75.108949122,59.162399128,27.432160099
D/S1W2,5,32,26.0,#180093,224.19631993,78.799933045,35.305421686,25.822322933
D/S1W2,5,32,27.0,#180093,224.211175389,78.797524507,35.308460116,25.830952001
D/S1W2,5,32,30.0,#180093,224.255706298,78.790295044,35.317594625,25.856837398
D/S1W2,5,32,37.0,#180093,224.359405201,78.773403897,35.338868338,25.917226131
D/S1W2,5,43,21.0,#180569,222.060118246,75.206437046,51.345755273,34.290169196
D/S1W2,5,43,22.0,#180569,222.072178303,75.204122554,51.348484792,34.298857585
D/S1W2,5,43,23.0,#180569,222.084234926,75.201807521,51.351206611,34.307545643
D/S1W2,5,43,24.0,#180569,222.09628811,75.199491951,51.3539271,34.316233365
D/S1W2,5,54,7.0,#180093,239.351691136,75.249260009,38.600935746,36.777805563
D/S1W2,5,54,11.0,#180093,239.387819375,75.237369891,38.609019974,36.810610627
D/S1W2,5,54,13.0,#180093,239.405864387,75.23142317,38.613043552,36.827007349
D/S1W2,5,54,14.0,#180093,239.414882125,75.228449393,38.615057463,36.835205174
D/S1W2,6,4,17.0,#178646,235.035379996,68.265408942,66.665742698,54.229923312
D/S1W2,6,4,21.0,#178646,235.064631142,68.25408289,66.67031783,54.26228481
D/S1W2,6,4,26.0,#178646,235.101158667,68.239919649,66.675997243,54.302700789
D/S1W2,6,5,2.0,#178646,235.362968229,68.137759207,66.716437081,54.593559655
D/S1W2,6,14,40.0,#180093,248.508477239,71.417547068,40.48101143,46.602171888
D/S1W2,6,14,57.0,#180093,248.612176393,71.362883798,40.498407277,46.733426373
D/S1W2,6,14,58.0,#180093,248.618260956,71.359667103,40.499423178,46.741136242
D/S1W2,6,15,0.0,#180093,248.630424964,71.353233314,40.501437669,46.756559585
D/S1W2,6,26,47.0,#178646,243.622466195,64.249649146,67.4454077,64.747581906
D/S1W2,6,27,28.0,#178646,243.848388854,64.122635787,67.445047304,65.053835317
D/S1W2,6,28,53.0,#178646,244.311195117,63.858538692,67.439889343,65.68613685
D/S1W2,6,29,59.0,#178646,244.665471955,63.652769872,67.431524046,66.174667007
D/S1W2,6,53,29.0,#180093,259.383788595,63.679140772,40.684097575,63.395624312
D/S1W2,6,53,31.0,#180093,259.391060433,63.672349891,40.682370042,63.40893722
D/S1W2,6,53,32.0,#180093,259.394695413,63.668954389,40.681513605,63.415597777
D/S1W2,6,53,33.0,#180093,259.398329764,63.665558849,40.68065636,63.422267437
D/S1W2,7,7,50.0,#180569,256.109431339,59.900806423,54.628070328,73.135328863
D/S1W2,7,10,22.0,#180569,256.677570937,59.390454501,54.398398178,74.111562402
D/S1W2,8,59,49.0,#183031,122.208245975,81.001416697,76.844526901,59.999967396
D/S1W2,9,0,13.0,#183031,122.546114473,81.071436737,76.765780055,59.999967396
D/S1W2,9,0,26.0,#183031,122.731166708,81.109254044,76.722996812,59.999967396
D/S1W2,10,11,57.0,#180569,228.150300647,73.865520635,43.749586343,29.999983698
D/S1W2,10,11,59.0,#180569,228.170929053,73.860373268,43.737149684,29.999983698
D/S1W2,10,11,59.0,#180569,228.170929053,73.860373268,43.737149684,29.999983698
D/S1W2,10,12,1.0,#180569,228.191545698,73.855224244,43.724709872,29.999983698
D/S1W2,6,6,5.0,#236815,77.730388142,49.1405867,71.020447716,63.375665222
D/S1W2,6,11,38.0,#236815,78.230449508,50.265719965,71.80564633,63.375665222
D/S1W2,7,1,59.0,#228476,70.442429253,65.639063889,53.823467576,63.375665222
D/S1W2,7,37,39.0,#236815,86.467128159,67.915535745,99.794176678,87.375652181
D/S1W2,7,57,31.0,#236815,88.803250347,72.029451735,98.501051492,87.375652181
D/S1W2,8,30,24.0,#228476,51.473728274,82.279243831,41.036349991,59.375667396
D/S1W2,9,43,26.0,#228476,301.378618533,80.370631379,51.227772057,87.375652181
D/S1W2,5,16,37.0,#141932,354.816466813,56.91946242,-33.240237834,87.375652181
D/S1W2,5,26,57.0,#151092,4.874546808,54.214222795,-34.172680186,87.375652181
D/S1W2,5,35,19.0,#151092,3.649227312,54.343131585,-34.864843506,87.375652181
D/S1W2,5,35,23.0,#151092,3.639405455,54.344009875,-34.870580998,87.375652181
D/S1W2,5,53,10.0,#158783,12.062278169,55.696109527,-23.195890271,87.375652181
D/S1W2,6,2,1.0,#158783,10.655879968,56.057515324,-23.721513935,87.375652181
D/S1W2,6,26,8.0,#158783,6.60167545,56.809418517,-25.52621352,87.375652181
D/S1W2,6,26,11.0,#158783,6.592987119,56.810609181,-25.530511766,87.375652181
D/S1W2,6,26,13.0,#158783,6.587194349,56.81140209,-25.533378525,87.375652181
D/S1W2,11,12,7.0,#214190,139.478355573,82.958978582,86.529721603,71.375660875
D/S1W2,11,12,9.0,#214190,139.525606571,82.963465478,86.522213557,71.375660875
D/S1W2,11,50,58.0,#236815,100.05290455,82.898334747,70.165722081,66.375663592
D/S1W2,12,21,29.0,#214190,245.535130496,78.279455925,82.452415983,87.375652181
D/S1W2,4,43,26.0,#5314,25.709403015,67.012755939,6.485175108,73.811806898
D/S1W2,4,53,1.0,#5314,22.702705065,67.827835524,3.188441539,71.418448744
D/S1W2,5,26,33.0,#5314,10.146580615,69.81737118,10.310787698,82.709565992
D/S1W2,5,36,12.0,#5314,6.076657957,70.099935352,6.245134165,80.125322499
D/S1W2,6,4,34.0,#14835,26.010657802,70.92086054,24.754402739,82.311604112
D/S1W2,6,4,35.0,#14835,26.004030962,70.9223753,24.747900475,82.307039401
D/S1W2,6,14,3.0,#14835,22.034901932,71.721972665,20.965408247,79.691912467
D/S1W2,6,41,54.0,#14835,8.225623671,73.247812926,8.85128544,71.77499615
D/S1W2,6,52,8.0,#14835,2.603689937,73.448359878,4.055852783,68.798987763
D/S1W2,7,26,42.0,#30813,45.663645931,70.905050906,42.71250222,81.022553728
D/S1W2,7,36,38.0,#30813,42.61535766,72.340007125,38.9559944,78.173676908
D/S1W2,8,50,23.0,#54213,146.443970833,45.782420275,167.370745509,33.687501581
D/S1W2,8,59,46.0,#54213,149.492607246,46.814137188,162.672103268,29.93740923
D/S1W2,8,59,48.0,#54213,149.503650005,46.817643991,162.654851889,29.923921218
D/S1W2,9,32,35.0,#63793,149.304075848,48.791753679,175.972277654,48.627591622
D/S1W2,10,17,57.0,#74293,151.051585106,51.573743539,175.198733085,54.832864157
D/S1W2,10,28,24.0,#74293,155.002191746,52.556471224,169.178346459,50.420696935
D/S1W2,2,55,18.0,#13826,64.001977582,48.995576451,37.979789443,63.375665088
D/S1W2,3,2,48.0,#13826,64.259851844,50.394368681,39.043997689,63.375665089
D/S1W2,4,14,51.0,#12487,54.594374226,64.779588323,29.281258674,63.37566509
D/S1W2,9,30,37.0,#113860,83.561667556,43.874475927,93.971469481,69.375661822
D/S1W2,4,21,10.0,#252813,61.216538983,63.975425756,0.2081,24.627803575
D/S1W2,4,34,10.0,#256129,55.326326216,64.816982411,0.2081,33.163814481
D/S1W2,4,41,33.0,#265009,43.726504664,62.138663379,0.2081,54.078309126
D/S1W2,4,50,48.0,#252813,58.22049188,69.290052101,0.2081,25.456562837
D/S1W2,5,2,46.0,#256129,50.8853673,69.571380405,0.2081,34.285407183
D/S1W2,5,18,28.0,#301970,63.133672298,59.894627022,0.2081,23.338223342
D/S1W2,5,26,55.0,#301163,65.287032058,61.950488971,0.2081,18.751563592
D/S1W2,5,33,47.0,#306258,62.471848971,59.39041645,0.2081,24.780615667
D/S1W2,5,39,17.0,#301163,64.901700348,64.275750917,0.2081,18.6281596
D/S1W2,5,48,39.0,#294660,61.744441459,68.748821426,0.2081,21.245259353
D/S1W2,5,54,22.0,#301163,64.046159392,67.097855345,0.2081,18.869170011
D/S1W2,6,3,3.0,#301970,60.464325012,68.063313483,0.2081,23.35125402
D/S1W2,6,9,16.0,#301163,62.632259422,69.859122675,0.2081,19.528302314
D/S1W2,6,18,7.0,#286136,22.224287136,68.384606693,0.2081,67.447307264
D/S1W2,6,27,45.0,#278535,11.776328921,66.898228396,0.2081,80.127746918
D/S1W2,6,35,17.0,#300814,21.984051907,64.455567656,0.2081,77.638784285
D/S1W2,6,44,9.0,#304699,28.315282878,66.626708254,0.2081,65.710763686
D/S1W2,6,56,30.0,#278535,1.674943928,67.601955024,0.2081,84.249117204
D/S1W2,8,44,40.0,#250899,297.173723836,61.122670282,0.2081,82.721879262
D/S1W2,8,53,27.0,#259240,295.61000701,62.264206299,0.2081,78.173483625
D/S1W2,8,59,17.0,#262559,295.089450741,61.997522638,0.2081,78.141120564
D/S1W2,9,7,45.0,#259240,295.333570266,59.587817193,0.2081,83.856598956
D/S1W2,9,13,5.0,#269036,295.924095535,60.899394911,0.2081,81.676975381
D/S1W2,9,18,31.0,#259240,295.289864493,57.570260968,0.2081,88.225643841
D/S1W2,9,24,6.0,#269036,295.762260756,58.844095841,0.2081,86.08181532
D/S1W2,9,34,13.0,#319528,3.5276129,73.706151699,0.2081,63.740528739
D/S1W2,9,40,50.0,#319693,11.678633889,74.341209309,0.2081,58.027942716
D/S1W2,9,46,30.0,#319702,8.460049026,73.304644953,0.2081,62.834412813
D/S1W2,9,53,37.0,#319693,3.989789593,74.703658894,0.2081,60.306461875
D/S1W2,10,1,59.0,#319528,347.976689551,73.273340712,0.2081,69.365664955
D/S1W2,10,7,5.0,#319528,345.299256063,73.028931027,0.2081,70.508284158
D/S1W2,10,27,23.0,#315233,229.795451504,58.334028096,40.208177713,9.215264958
D/S1W2,10,32,18.0,#315233,231.520246161,57.545857901,40.208078264,11.524578374
D/S1W2,10,48,7.0,#305074,257.277845005,49.037604404,40.208177713,64.422207764
D/S1W2,10,53,18.0,#308206,255.960718937,51.020080541,40.208177713,60.774212603
D/S1W2,10,59,12.0,#305074,259.355937043,46.787969294,40.208177713,70.289394412
D/S1W2,11,4,51.0,#303462,262.683134175,44.699901971,40.208177713,79.659772299
D/S1W2,11,26,2.0,#18735,91.251712595,70.384821258,40.208177713,24.454691162
D/S1W2,11,34,16.0,#19572,84.5813873,71.300562425,40.208177713,33.090369116
D/S1W2,11,45,58.0,#19572,85.570729824,73.716649528,40.208177713,34.115114309
D/S1W2,11,53,57.0,#19896,63.394658238,74.397533085,40.208177713,56.509886009
D/S1W2,12,5,17.0,#19896,60.757294457,76.474520239,40.208177713,57.793650902
D/S1W2,12,16,37.0,#19572,88.480338914,80.059960811,40.208177713,38.115138573
D/S1W2,12,34,14.0,#18735,115.57741269,84.234682927,70.208235998,64.224352664
D/S1W2,4,58,3.0,#157382,197.470320618,42.908709971,197.669259995,82.375654898
D/S1W2,5,50,5.0,#170012,184.786154412,51.27256493,193.215203805,81.375655441
D/S1W2,10,23,28.0,#217087,297.816846329,70.806989579,15.805391937,75.375658701
D/S1W2,3,37,24.0,#148772,25.062317529,63.39329986,10.73772833,87.375652181
D/S1W2,4,45,19.0,#153578,18.454069923,66.564335687,11.984168441,87.375652181
D/S1W2,5,21,7.0,#153578,6.035108975,68.158152567,7.435278008,87.375652181
D/S1W2,6,13,8.0,#153578,346.71509594,67.456000779,-1.980174465,87.375652181
D/S1W2,6,53,10.0,#163996,3.045576773,72.884605478,20.970043197,87.375652181
D/S1W2,10,45,56.0,#320010,6.17923762,68.219740001,0.2081,79.87171435
D/S1W2,11,11,36.0,#16080,39.428972643,64.437234561,20.208138857,76.58812629
D/S1W2,11,26,11.0,#16080,36.278258871,66.294191628,20.208138857,77.261332901
D/S1W2,11,34,3.0,#16080,34.286656635,67.23637291,20.208138857,77.761197402
D/S1W2,11,42,47.0,#14835,30.352948948,69.781240979,20.208138857,76.484588159
D/S1W2,11,49,50.0,#14835,27.811535472,70.491866992,20.208138857,77.216740269
D/S1W2,12,1,37.0,#17438,23.923640521,66.81708238,4.208107771,73.79401879
D/S1W2,12,11,28.0,#14835,18.603083328,72.269529635,4.208107771,63.930427386
D/S1W2,12,30,21.0,#16080,13.024961384,72.085117437,4.208107771,68.05748402
D/S1W2,6,56,20.0,#203619,154.283789408,29.623303556,220.862965813,47.375673917
D/S1W2,7,24,20.0,#210170,158.043930985,28.616929965,225.661186989,49.37567283
D/S1W2,2,23,38.0,#15469,66.632003209,40.841002655,26.779594941,47.375673822
D/S1W2,7,9,9.0,#63849,87.148692377,48.434368745,111.772383999,81.375655282
D/S1W2,6,45,33.0,#249051,48.282863782,49.108676665,15.490807353,77.375657615
D/S1W2,6,53,54.0,#249051,48.097082143,50.398793785,16.475077803,77.375657615
D/S1W2,7,29,52.0,#233793,29.550485273,57.51317329,3.688571068,87.375652181
D/S1W2,8,0,47.0,#278535,39.323656,52.74449144,11.702463053,87.375652181
D/S1W2,8,41,13.0,#233793,15.3083008,63.30541589,0.323669413,87.375652181
D/S1W2,4,41,18.0,#33500,84.607147183,38.220870095,85.950396911,55.375669451
D/S1W2,6,52,21.0,#34919,87.837878802,66.64770519,54.875185382,39.37567818
D/S1W2,7,26,6.0,#33500,118.546257186,71.60549033,79.68567801,39.37567818
D/S1W2,8,7,45.0,#33500,146.059276464,78.108268376,104.487482242,71.375660724
D/S1W2,8,31,14.0,#19572,274.9548611,72.479747961,52.568044453,87.375651996
D/S1W2,7,48,5.0,#33252,88.431683429,49.492694299,38.519424093,6.015381184
D/S1W2,7,48,6.0,#33252,88.43392283,49.496147532,38.533456757,6.027240874
D/S1W2,7,48,8.0,#33252,88.438402066,49.50305401,38.561521645,6.050947482
D/S1W2,7,48,10.0,#33252,88.442881883,49.509960505,38.589576139,6.074670073
D/S1W2,8,16,10.0,#35200,83.30994135,55.064878941,33.995756644,16.839589946
D/S1W2,8,16,13.0,#35200,83.315263279,55.075172008,34.035329266,16.874941616
D/S1W2,8,16,15.0,#35200,83.318811624,55.082034115,34.061709892,16.898511223
D/S1W2,8,16,17.0,#35200,83.322360285,55.088896271,34.088089624,16.922082292
D/S1W2,8,28,36.0,#36116,74.650985347,57.89303322,18.569946245,20.055589849
D/S1W2,8,29,46.0,#36116,74.713214767,58.126259493,19.429815716,20.843596796
D/S1W2,8,29,54.0,#36116,74.72029342,58.152918331,19.527997546,20.933746527
D/S1W2,8,31,31.0,#36116,74.80557155,58.476227924,20.71730109,22.028400981
D/S1W2,9,8,50.0,#38572,37.197968751,59.735158385,8.938442159,76.773179387
D/S1W2,9,8,54.0,#38572,37.188501908,59.743511485,8.97201973,76.806671211
D/S1W2,9,8,55.0,#38572,37.18613384,59.745599477,8.980419799,76.815044534
D/S1W2,9,9,0.0,#38572,37.174285352,59.756037725,9.022393789,76.856921792
D/S1W2,9,46,40.0,#36116,76.830817751,73.604287109,40.391494072,43.126711229
D/S1W2,9,46,42.0,#36116,76.830166737,73.611014455,40.41242395,43.150791866
D/S1W2,9,46,44.0,#36116,76.829513141,73.617741784,40.43335171,43.174872588
D/S1W2,9,46,46.0,#36116,76.828856959,73.624469097,40.454283441,43.198953403
D/S1W2,9,59,24.0,#35200,99.003583853,76.400406819,76.738084931,62.268755203
D/S1W2,9,59,25.0,#35200,99.008169426,76.403818759,76.748609345,62.281537628
D/S1W2,9,59,26.0,#35200,99.012756715,76.407230659,76.759132105,62.294329495
D/S1W2,9,59,29.0,#35200,99.026528864,76.417466095,76.79071805,62.332696988
D/S1W2,10,13,15.0,#36116,75.104531774,78.955225754,56.373772206,62.314530586
D/S1W2,10,13,21.0,#36116,75.091297902,78.975255792,56.431087711,62.386488899
D/S1W2,10,13,22.0,#36116,75.089084995,78.978594013,56.440636351,62.398481673
D/S1W2,10,13,23.0,#36116,75.08687001,78.9819322,56.450184376,62.410467636
D/S1W2,10,39,49.0,#57683,83.03223235,68.027163938,33.888663346,26.166690974
D/S1W2,10,39,52.0,#57683,83.036166439,68.037451022,33.923362563,26.203524349
