bas1,h,m,s,star,az,el,delay1,delay2
D/S1W2,7,13,11.0,#42399,76.380023425,51.52750514,46.834034038,43.085682506
D/S1W2,7,13,11.0,#42399,76.380023425,51.52750514,46.834040025,43.085682506
D/S1W2,7,13,12.0,#42399,76.381349725,51.530862531,46.832574758,43.082138305
D/S1W2,7,13,23.0,#42399,76.395937352,51.567795064,46.816554943,43.04320863
D/S1W2,7,36,40.0,#50729,88.403136644,46.47608716,100.4117384,65.472168542
D/S1W2,7,36,42.0,#50729,88.407634189,46.482993538,100.40980905,65.464961242
D/S1W2,7,36,52.0,#50729,88.430129746,46.517525642,100.400039514,65.428895131
D/S1W2,7,36,57.0,#50729,88.441382432,46.534791834,100.395139136,65.410832481
D/S1W2,7,51,58.0,#50033,82.628324377,52.062220816,74.413208317,56.837406878
D/S1W2,7,52,43.0,#50033,82.708555808,52.216403517,74.324479749,56.663396133
D/S1W2,8,1,26.0,#50729,91.913948488,51.608698061,97.829347942,59.635475845
D/S1W2,8,1,28.0,#50729,91.918940132,51.615603248,97.824274184,59.626965019
D/S1W2,8,1,29.0,#50729,91.921436266,51.619055835,97.821777621,59.622712123
D/S1W2,8,1,30.0,#50729,91.923932607,51.622508415,97.819285819,59.618475487
D/S1W2,8,14,44.0,#50033,85.137344541,56.753738473,70.828481534,51.198767725
D/S1W2,8,36,50.0,#56376,99.07632298,54.137474921,106.238141037,56.682894024
D/S1W2,8,36,56.0,#56376,99.094952444,54.157942026,106.215799435,56.654103373
D/S1W2,8,37,5.0,#56376,99.122920325,54.188640682,106.182323745,56.610955009
D/S1W2,8,37,8.0,#56376,99.132249281,54.198873034,106.171182518,56.596600848
D/S1W2,9,8,37.0,#56376,105.777548129,60.570799025,97.299722833,46.86462097
D/S1W2,9,8,38.0,#56376,105.781563446,60.574123367,97.294078417,46.859124989
D/S1W2,9,8,38.0,#56376,105.781563446,60.574123367,97.294078417,46.859133426
D/S1W2,9,8,40.0,#56376,105.789596001,60.580771859,97.282774056,46.848132674
D/S1W2,9,21,18.0,#61321,99.719494151,61.543874677,85.331259052,45.716398086
D/S1W2,9,44,16.0,#56376,116.258328821,67.475207568,82.997482786,34.366292833
D/S1W2,9,44,17.0,#56376,116.264364746,67.478305539,82.989801103,34.360131606
D/S1W2,9,44,23.0,#56376,116.300608669,67.496889973,82.94362,34.323124407
D/S1W2,9,44,26.0,#56376,116.318748895,67.50618001,82.920509209,34.304617386
D/S1W2,4,8,11.0,#19690,93.431829659,42.231714932,135.351307859,84.2232962
D/S1W2,4,8,12.0,#19690,93.434367456,42.235163257,135.352054196,84.220946472
D/S1W2,4,8,12.0,#19690,93.434367456,42.235163257,135.352054196,84.220946472
D/S1W2,4,8,13.0,#19690,93.436905416,42.238611576,135.352800455,84.218597279
D/S1W2,4,16,59.0,#19690,94.795360762,44.050972274,135.734142702,83.057536652
D/S1W2,4,17,0.0,#19690,94.797990235,44.054414703,135.734846632,83.055472267
D/S1W2,4,17,1.0,#19690,94.800619894,44.057857118,135.735550481,83.053408425
D/S1W2,4,17,1.0,#19690,94.800619894,44.057857118,135.735550481,83.053402511
D/S1W2,4,44,24.0,#5648,124.358682105,69.5188146,129.738592866,79.313670741
D/S1W2,4,44,25.0,#5648,124.366252774,69.521666256,129.738608477,79.315795327
D/S1W2,4,44,27.0,#5648,124.381399528,69.5273688,129.738639415,79.320046111
D/S1W2,4,44,28.0,#5648,124.388975604,69.530219682,129.738654741,79.322159267
D/S1W2,5,25,15.0,#19690,107.923745762,57.916074896,129.897542803,71.2497871
D/S1W2,5,25,16.0,#19690,107.927791896,57.919361728,129.897887396,71.25000717
D/S1W2,5,25,17.0,#19690,107.931838616,57.922648486,129.898231897,71.250227805
D/S1W2,5,25,19.0,#19690,107.939933814,57.929221773,129.898920619,71.250670764
D/S1W2,5,55,47.0,#11068,161.279457896,58.133260314,115.267972265,12.744725504
D/S1W2,5,55,50.0,#11068,161.302299371,58.136584578,115.267416162,12.754895293
D/S1W2,5,55,51.0,#11068,161.309914125,58.137691797,115.267230593,12.758286313
D/S1W2,5,55,54.0,#11068,161.33276116,58.141010841,115.266673276,12.768457045
D/S1W2,8,14,38.0,#45192,143.357120246,45.883404763,138.730835742,7.481677164
D/S1W2,8,42,38.0,#11068,231.409353198,47.349020376,112.724411203,73.873030103
D/S1W2,8,42,50.0,#11068,231.465589503,47.316606016,112.711652171,73.96319485
D/S1W2,8,43,6.0,#11068,231.54046814,47.273347474,112.694613432,74.083485101
D/S1W2,8,43,11.0,#11068,231.563843585,47.259819966,112.689285453,74.121093241
D/S1W2,8,52,59.0,#11068,234.234846762,45.639604708,112.051446861,78.583459832
D/S1W2,8,53,11.0,#11068,234.287792104,45.605956621,112.038183019,78.675322397
D/S1W2,8,54,16.0,#11068,234.573525555,45.423309168,111.966300497,79.17354285
D/S1W2,8,54,39.0,#11068,234.674207133,45.358524633,111.940776666,79.350040578
D/S1W2,9,16,19.0,#27529,199.752714409,52.946037019,119.409899441,29.264873058
D/S1W2,9,16,20.0,#27529,199.759370367,52.944869332,119.409216523,29.270781331
D/S1W2,9,16,21.0,#27529,199.766025959,52.943701268,119.408533515,29.276690018
D/S1W2,9,16,21.0,#27529,199.766025959,52.943701268,119.408533515,29.27667995
D/S1W2,10,0,14.0,#30462,207.367482033,47.108303129,120.077489753,30.008245672
D/S1W2,10,0,15.0,#30462,207.373134264,47.106714943,120.076674441,30.014744722
D/S1W2,10,0,16.0,#30462,207.37878614,47.105126456,120.075859048,30.021244131
D/S1W2,10,0,17.0,#30462,207.384437667,47.103537664,120.07504357,30.027743909
D/S1W2,8,47,31.0,#278535,27.617229625,62.83509345,12.867321005,87.755651974
D/S1W2,9,45,9.0,#249051,354.37471319,72.357735026,0.298176333,71.375660875
D/S1W2,9,39,34.0,#32935,112.875649306,69.235387111,83.358217948,42.20807714
D/S1W2,9,39,37.0,#32935,112.893331148,69.244934986,83.353335592,42.20807714
D/S1W2,9,39,41.0,#32935,112.916927361,69.257663551,83.346814157,42.20807714
D/S1W2,9,39,42.0,#32935,112.922830062,69.260845344,83.345185077,42.20807714
D/S1W2,10,16,31.0,#33501,129.224161555,75.350586552,78.718347842,42.20807714
D/S1W2,10,20,34.0,#33501,131.932862692,75.988275448,77.999115585,42.20807714
D/S1W2,10,20,37.0,#33501,131.967682743,75.995983113,77.9899865,42.20807714
D/S1W2,10,20,44.0,#33501,132.049064547,76.013951266,77.96880959,42.20807714
D/S1W2,10,37,32.0,#32935,148.638477501,78.611600927,74.007601222,42.20807714
D/S1W2,10,37,40.0,#32935,148.774596557,78.625955806,73.977788198,42.20807714
D/S1W2,10,37,53.0,#32935,148.996475346,78.6491625,73.929279949,42.20807714
D/S1W2,10,38,5.0,#32935,149.202039461,78.670451527,73.884421427,42.20807714
D/S1W2,8,25,57.0,#180569,269.188576242,44.666858106,32.086805155,87.999952181
D/S1W2,8,26,5.0,#180569,269.207758437,44.639224555,32.016822007,87.999952181
D/S1W2,8,26,11.0,#180569,269.222138849,44.61849931,31.964303295,87.999952181
D/S1W2,8,26,11.0,#180569,269.222138849,44.61849931,31.964303295,87.999952181
D/S1W2,8,55,1.0,#214909,245.198952811,62.912760702,82.633677253,81.999955441
D/S1W2,8,55,1.0,#214909,245.198952811,62.912760702,82.633670324,81.999955441
D/S1W2,8,55,2.0,#214909,245.204135639,62.909624718,82.626052156,81.999955441
D/S1W2,8,55,3.0,#214909,245.209317527,62.906488605,82.618433643,81.999955441
D/S1W2,9,20,9.0,#208121,264.90485929,58.17325811,46.181633947,81.999955441
D/S1W2,9,20,12.0,#208121,264.913390687,58.1629354,46.157770242,81.999955441
D/S1W2,9,20,13.0,#208121,264.916233805,58.159494465,46.149817504,81.999955441
D/S1W2,9,20,14.0,#208121,264.919076581,58.156053516,46.141864526,81.999955441
D/S1W2,9,38,49.0,#221697,268.985304195,60.624103866,40.972787028,81.999955441
D/S1W2,9,38,51.0,#221697,268.990221022,60.617195884,40.957514743,81.999955441
D/S1W2,9,38,52.0,#221697,268.992679018,60.613741888,40.949863223,81.999955441
D/S1W2,9,38,53.0,#221697,268.995136735,60.610287891,40.942204914,81.999955441
D/S1W2,10,11,32.0,#208121,272.491026791,47.532748307,20.735408977,81.999955441
D/S1W2,10,11,45.0,#208121,272.519433962,47.487882318,20.625034185,81.999955441
D/S1W2,10,12,7.0,#208121,272.567460138,47.411957494,20.43835567,81.999955441
D/S1W2,10,13,8.0,#208121,272.700314551,47.201453733,19.920275491,81.999955441
D/S1W2,10,30,39.0,#214909,265.586615201,43.731290715,34.517429184,81.999955441
D/S1W2,10,30,42.0,#214909,265.594427368,43.720957796,34.490701535,81.999955441
